Comment,Designator,Footprint,LCSC,Quantity
BSS138BK,Q1,SOT-23,C112239,1
0.1uF,"C10,C11,C2,C3,C6,C7",C_0402_1005Metric,C1525,6
10uF,C4,C_0402_1005Metric,C15525,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948,1
SW_Push,SW1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,C221900,1
470,R11,R_0402_1005Metric,C25117,1
4.7,R8,R_0402_1005Metric,C25121,1
10k,"R10,R7,R9",R_0402_1005Metric,C25744,3
4.7k,"R3,R5",R_0402_1005Metric,C25900,2
5.1k 1%,"R1,R2",R_0402_1005Metric,C25905,2
SGP40-D-R4,IC3,SON80P244X244X95-7N,C2874215,1
ESP32-S3-MINI-1-N8,IC1,ESP32S3MINI1N8,C2913206,1
XL-0807RGBC-WS2812B,LED1,XL0807RGBCWS2812B,C3646929,1
AP2112K-3.3TRG1,IC2,SOT95P285X140-5N,C51118,1
1uF,"C5,C8,C9",C_0402_1005Metric,C52923,3
22uF,C1,C_0603_1608Metric,C59461,1
SMD0603-050,F1,Fuse_0603_1608Metric,C69679,1
SHT40-AD1F-R2,U1,SHT40AD1FR2,C7461846,1
