Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,100.23,-55.23,90.0,top
C10,0.1uF,C_0402_1005Metric,94.73,-61.98,180.0,top
C11,0.1uF,C_0402_1005Metric,101.96,-70.48,180.0,top
C2,0.1uF,C_0402_1005Metric,100.23,-58.23,-90.0,top
C3,0.1uF,C_0402_1005Metric,119.23,-53.23,90.0,top
C4,10uF,C_0402_1005Metric,121.23,-63.23,0.0,top
C5,1uF,C_0402_1005Metric,119.73,-63.5,-90.0,top
C6,0.1uF,C_0402_1005Metric,121.23,-72.75,-90.0,top
C7,0.1uF,C_0402_1005Metric,121.23,-53.75,90.0,top
C8,1uF,C_0402_1005Metric,112.48,-72.78,-90.0,top
C9,1uF,C_0402_1005Metric,117.48,-73.78,-90.0,top
F1,SMD0603-050,Fuse_0603_1608Metric,121.6925,-57.48,0.0,top
IC1,ESP32-S3-MINI-1-N8,ESP32S3MINI1N8,109.93,-60.23,0.0,top
IC2,AP2112K-3.3TRG1,SOT95P285X140-5N,120.98,-60.48,180.0,top
IC3,SGP40-D-R4,SON80P244X244X95-7N,114.98,-73.03,0.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,127.09,-61.23,90.0,top
LED1,XL-0807RGBC-WS2812B,XL0807RGBCWS2812B,101.73,-73.03,0.0,top
Q1,BSS138BK,SOT-23,107.2925,-72.93,180.0,top
R1,5.1k 1%,R_0402_1005Metric,126.23,-67.72,90.0,top
R10,10k,R_0402_1005Metric,109.98,-72.73,90.0,top
R11,470,R_0402_1005Metric,104.48,-73.23,-90.0,top
R2,5.1k 1%,R_0402_1005Metric,127.23,-67.72,90.0,top
R3,4.7k,R_0402_1005Metric,100.48,-65.73,90.0,top
R5,4.7k,R_0402_1005Metric,100.48,-63.23,-90.0,top
R7,10k,R_0402_1005Metric,119.23,-55.23,90.0,top
R8,4.7,R_0402_1005Metric,114.23,-70.78,180.0,top
R9,10k,R_0402_1005Metric,104.48,-70.98,90.0,top
SW1,SW_Push,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,124.23,-54.23,180.0,top
U1,SHT40-AD1F-R2,SHT40AD1FR2,94.78,-64.03,90.0,top
